systematic,gene,sgd
YDL025C,RTK1,S000002183
YDL025W-A,YDL025W-A,S000028610
YDL026W,YDL026W,S000002184
YDL027C,YDL027C,S000002185
YDL028C,MPS1,S000002186
YDL029W,ARP2,S000002187
YDL030W,PRP9,S000002188
YDL031W,DBP10,S000002189
YDL032W,YDL032W,S000002190
YDL033C,SLM3,S000002191
YDL034W,YDL034W,S000002192
YDL035C,GPR1,S000002193
YDL036C,PUS9,S000002194
YDL037C,BSC1,S000002195
YDL039C,PRM7,S000002197
YDL040C,NAT1,S000002198
YDL041W,YDL041W,S000002199
YDL042C,SIR2,S000002200
YDL043C,PRP11,S000002201
YDL044C,MTF2,S000002202
YDL045C,FAD1,S000002203
YDL045W-A,MRP10,S000006430
YDL046W,NPC2,S000002204
YDL047W,SIT4,S000002205
YDL048C,STP4,S000002206
YDL049C,KNH1,S000002207
YDL050C,YDL050C,S000002208
YDL051W,LHP1,S000002209
YDL052C,SLC1,S000002210
YDL053C,PBP4,S000002211
YDL054C,MCH1,S000002212
YDL055C,PSA1,S000002213
YDL056W,MBP1,S000002214
YDL057W,YDL057W,S000002215
YDL058W,USO1,S000002216
YDL059C,RAD59,S000002217
YDL060W,TSR1,S000002218
YDL061C,RPS29B,S000002219
